filename,buffalo,zebra,elephant,rhino
1 (66).jpg,2.0,0.0,0.0,0.0
4 (295).jpg,0.0,1.0,0.0,0.0
1 (35).jpg,1.0,0.0,0.0,0.0
4 (191).jpg,0.0,1.0,0.0,0.0
1 (365).jpg,1.0,0.0,0.0,0.0
1 (121).jpg,1.0,0.0,0.0,0.0
1 (154).jpg,0.0,0.0,1.0,0.0
4 (29).jpg,0.0,1.0,0.0,0.0
3 (219).jpg,0.0,0.0,0.0,2.0
4 (275).jpg,0.0,2.0,0.0,0.0
2 (182).jpg,0.0,0.0,1.0,0.0
2 (78).jpg,0.0,0.0,1.0,0.0
4 (23).jpg,0.0,1.0,0.0,0.0
4 (369).jpg,0.0,1.0,0.0,0.0
2 (120).jpg,0.0,0.0,2.0,0.0
4 (81).jpg,0.0,1.0,0.0,0.0
1 (168).jpg,1.0,0.0,0.0,0.0
3 (272).jpg,0.0,0.0,0.0,1.0
1 (308).jpg,1.0,0.0,0.0,0.0
2 (123).jpg,0.0,0.0,1.0,0.0
2 (113).jpg,0.0,0.0,3.0,0.0
1 (103).jpg,1.0,0.0,0.0,0.0
3 (320).jpg,0.0,0.0,0.0,1.0
4 (155).jpg,0.0,1.0,0.0,0.0
3 (329).jpg,0.0,0.0,1.0,1.0
1 (289).jpg,1.0,0.0,0.0,0.0
3 (323).jpg,0.0,0.0,0.0,2.0
2 (246).jpg,0.0,0.0,2.0,0.0
4 (209).jpg,0.0,1.0,0.0,0.0
4 (272).jpg,0.0,1.0,0.0,0.0
2 (175).jpg,0.0,0.0,2.0,0.0
2 (53).jpg,0.0,0.0,1.0,0.0
2 (73).jpg,0.0,0.0,3.0,0.0
3 (209).jpg,0.0,0.0,1.0,2.0
2 (366).jpg,0.0,0.0,1.0,0.0
1 (55).jpg,1.0,0.0,0.0,0.0
4 (372).jpg,0.0,5.0,0.0,0.0
3 (328).jpg,0.0,0.0,0.0,2.0
1 (221).jpg,1.0,0.0,0.0,0.0
3 (58).jpg,0.0,0.0,0.0,1.0
2 (71).jpg,0.0,0.0,4.0,0.0
1 (372).jpg,1.0,0.0,0.0,0.0
2 (152).jpg,0.0,0.0,3.0,0.0
3 (354).jpg,0.0,0.0,0.0,1.0
1 (137).jpg,2.0,0.0,0.0,0.0
3 (157).jpg,0.0,0.0,0.0,1.0
1 (201).jpg,2.0,0.0,0.0,0.0
2 (114).jpg,0.0,0.0,1.0,0.0
2 (62).jpg,0.0,0.0,2.0,0.0
3 (173).jpg,0.0,0.0,0.0,1.0
4 (274).jpg,0.0,2.0,0.0,0.0
4 (357).jpg,0.0,3.0,0.0,0.0
4 (252).jpg,0.0,3.0,0.0,0.0
1 (94).jpg,1.0,0.0,0.0,0.0
2 (95).jpg,0.0,1.0,2.0,0.0
1 (47).jpg,1.0,0.0,0.0,0.0
3 (59).jpg,0.0,0.0,0.0,1.0
